,역명,월,화,수,목,금,토,일,x좌표_y,y좌표_y,수단
0,개봉,51289.255999999994,51859.76613,52373.08197,52946.35484,53464.928,44929.27642,32424.81452,37.494594,126.85868,1
1,구로,45239.584,45467.33065,46052.93443,46709.02419,47690.864,38449.08943,28981.23387,37.503039,126.88196599999999,1
2,구로디지털단지,138199.91199999998,140392.75,142004.62300000002,145233.6371,147830.136,91131.69106,67407.73387000001,37.485265999999996,126.901401,1
3,구일,15858.912,17314.28226,17064.04918,17373.26613,18017.784,17099.47967,12106.74194,37.496756,126.87079299999999,1
4,남구로,37383.904,37015.20968,37265.655739999995,37825.73387,37823.008,22504.130080000003,19611.24194,37.486056,126.887249,1
5,도림천,2736.8720000000003,2718.395161,2763.97541,2821.056452,2816.728,1583.95935,968.8306451999999,37.514287,126.882768,1
6,신도림,129424.79199999999,132048.3145,134983.1148,137385.0242,142858.048,127790.6911,89051.69355,37.508725,126.891295,1
7,오류동,24501.944,24416.52419,25026.35246,25424.22581,25339.607999999997,21261.56911,16769.77419,37.494526,126.84536499999999,1
8,천왕,18477.04,18542.87903,18834.30328,19145.25,19471.528000000002,13423.300809999999,9667.056451999999,37.486637,126.83871299999998,1
9,신도림역,37531.76923,37104.16,39109.43478,40260.68,40526.807689999994,31659.48,23215.91667,37.50975233,126.8894233,2
10,신도림동.구로역,7035.5,7049.28,7353.73913,7635.76,7742.5769230000005,5959.76,4222.041667,37.50600214,126.88397909999999,2
11,동양미래대학.구로성심병원,10316.38462,10552.2,10680.04348,11184.28,11122.42308,7989.56,5843.333333,37.4996344,126.86799769999999,2
12,구로디지털단지역,38613.192310000006,38127.0,40102.0,41208.04,41510.03846,29579.84,21524.0,37.48309943,126.90154809999999,2
13,구로디지털단지역환승센터,27915.15385,27946.2,28916.0,29742.04,29900.0,23025.0,16817.875,37.48465603,126.9020199,2
14,거리공원.KEB하나은행구로공원지점,601.8846154,560.36,644.7826087000001,650.96,593.4615385,482.68,409.7916667,37.50281315,126.88866780000001,2
15,구로도서관.대성스카이렉스,632.0,623.44,633.5652173999999,659.68,648.8076923,434.92,320.9583333,37.49967518,126.89121829999999,2
16,구로고등학교,1639.692308,1622.56,1678.913043,1745.08,1758.2692309999998,1240.88,855.625,37.49652263,126.89166399999999,2
17,구로구청,8345.538462,8135.96,8370.565217,8707.68,8553.423077,5269.2,3942.125,37.49456195,126.88792679999999,2
18,고대구로병원후문,1125.0,1089.84,1118.521739,1156.72,1144.461538,732.6,555.6666667000001,37.49310953,126.88435420000002,2
