지점번호,total,요일,Latitude_y,Longitude_y
A-01,47584.26666668373,0.0,37.56928,126.9518
A-01,48544.00000001198,1.0,37.56928,126.9518
A-01,48866.266129036965,2.0,37.56928,126.9518
A-01,49812.88617885847,3.0,37.56928,126.9518
A-01,50691.33606556397,4.0,37.56928,126.9518
A-01,44146.79661015644,5.0,37.56928,126.9518
A-01,38483.71666665854,6.0,37.56928,126.9518
A-02,51761.830000015645,0.0,37.572990000000004,126.9662
A-02,52975.38613861794,1.0,37.572990000000004,126.9662
A-02,53441.269230764505,2.0,37.572990000000004,126.9662
A-02,54008.72115383163,3.0,37.572990000000004,126.9662
A-02,55004.2843137052,4.0,37.572990000000004,126.9662
A-02,47623.69072163591,5.0,37.572990000000004,126.9662
A-02,42694.400000035734,6.0,37.572990000000004,126.9662
A-03,21792.517857140614,0.0,37.58925,126.9714
A-03,22892.295652172055,1.0,37.58925,126.9714
A-03,22550.862068964736,2.0,37.58925,126.9714
A-03,22912.570175439083,3.0,37.58925,126.9714
A-03,23574.535714287253,4.0,37.58925,126.9714
A-03,19956.93636363822,5.0,37.58925,126.9714
A-03,16699.500000001208,6.0,37.58925,126.9714
A-04,9118.710526314822,0.0,37.59691,126.9876
A-04,9402.54310344791,1.0,37.59691,126.9876
A-04,9326.914529914613,2.0,37.59691,126.9876
A-04,9481.175438597209,3.0,37.59691,126.9876
A-04,9841.09482758709,4.0,37.59691,126.9876
A-04,8362.009009009616,5.0,37.59691,126.9876
A-04,7070.887931033441,6.0,37.59691,126.9876
A-05,37293.97101449843,0.0,37.57651,126.9876
A-05,37385.159420292606,1.0,37.57651,126.9876
A-05,37946.91044776228,2.0,37.57651,126.9876
A-05,38769.23188405811,3.0,37.57651,126.9876
A-05,38361.92753623117,4.0,37.57651,126.9876
A-05,34386.31818181567,5.0,37.57651,126.9876
A-05,32646.550724631103,6.0,37.57651,126.9876
A-06,27181.17241377585,0.0,37.5831,127.0009
A-06,27628.403508757903,1.0,37.5831,127.0009
A-06,27394.119658109536,2.0,37.5831,127.0009
A-06,27998.452173910122,3.0,37.5831,127.0009
A-06,28341.92982456339,4.0,37.5831,127.0009
A-06,26019.000000011416,5.0,37.5831,127.0009
A-06,24030.612068996452,6.0,37.5831,127.0009
A-07,25672.71698112421,0.0,37.57839,127.005
A-07,26159.056074763317,1.0,37.57839,127.005
A-07,26538.954954953406,2.0,37.57839,127.005
A-07,26792.699999998706,3.0,37.57839,127.005
A-07,26940.61467889835,4.0,37.57839,127.005
A-07,22770.010309280322,5.0,37.57839,127.005
A-07,22345.943925245276,6.0,37.57839,127.005
A-08,34523.772727270654,0.0,37.5737,127.0201
A-08,34618.46491227919,1.0,37.5737,127.0201
A-08,34685.919642856854,2.0,37.5737,127.0201
A-08,34903.75454545488,3.0,37.5737,127.0201
A-08,34643.557522125484,4.0,37.5737,127.0201
A-08,33095.063636365274,5.0,37.5737,127.0201
A-08,30096.098214286103,6.0,37.5737,127.0201
A-09,25660.326315806713,0.0,37.566,127.0238
A-09,25494.613861397596,1.0,37.566,127.0238
A-09,25109.836734698554,2.0,37.566,127.0238
A-09,25490.393939395748,3.0,37.566,127.0238
A-09,25717.91919191547,4.0,37.566,127.0238
A-09,24907.260416657315,5.0,37.566,127.0238
A-09,22269.863157872343,6.0,37.566,127.0238
A-10,47048.071428565214,0.0,37.55915,127.0101
A-10,48456.691588782225,1.0,37.55915,127.0101
A-10,48856.321100917,2.0,37.55915,127.0101
A-10,49707.02752293699,3.0,37.55915,127.0101
A-10,49482.321100920024,4.0,37.55915,127.0101
A-10,43916.675675678875,5.0,37.55915,127.0101
A-10,36684.035714288264,6.0,37.55915,127.0101
A-11,36920.50862065466,0.0,37.55729,127.0075
A-11,37723.61788615568,1.0,37.55729,127.0075
A-11,37707.64705881196,2.0,37.55729,127.0075
A-11,38501.70588235341,3.0,37.55729,127.0075
A-11,37999.80991736691,4.0,37.55729,127.0075
A-11,32833.52136754398,5.0,37.55729,127.0075
A-11,27042.958677720242,6.0,37.55729,127.0075
A-12,21264.84126983248,0.0,37.55806,126.9796
A-12,21111.79687499449,1.0,37.55806,126.9796
A-12,21388.692307688787,2.0,37.55806,126.9796
A-12,21643.848484848502,3.0,37.55806,126.9796
A-12,21590.14062500231,4.0,37.55806,126.9796
A-12,20823.200000005712,5.0,37.55806,126.9796
A-12,19208.136363645517,6.0,37.55806,126.9796
A-13,37789.65178571086,0.0,37.55911,126.9772
A-13,38354.776785711016,1.0,37.55911,126.9772
A-13,38324.28695651931,2.0,37.55911,126.9772
A-13,39425.52252252042,3.0,37.55911,126.9772
A-13,39334.64601769856,4.0,37.55911,126.9772
A-13,31424.229357800104,5.0,37.55911,126.9772
A-13,26719.758928581265,6.0,37.55911,126.9772
A-14,29874.17142857362,0.0,37.57026,126.9738
A-14,30243.708333334635,1.0,37.57026,126.9738
A-14,29873.513513513888,2.0,37.57026,126.9738
A-14,30349.941176469812,3.0,37.57026,126.9738
A-14,30577.028169012057,4.0,37.57026,126.9738
A-14,26055.352941174195,5.0,37.57026,126.9738
A-14,24509.257142858096,6.0,37.57026,126.9738
A-15,36726.14444444143,0.0,37.57067,126.9943
A-15,37197.80851063748,1.0,37.57067,126.9943
A-15,36705.578947360205,2.0,37.57067,126.9943
A-15,37577.8152173761,3.0,37.57067,126.9943
A-15,36360.99999998185,4.0,37.57067,126.9943
A-15,32154.233333328164,5.0,37.57067,126.9943
A-15,31142.42105267966,6.0,37.57067,126.9943
A-16,34820.69911501882,0.0,37.56323,126.9757
A-16,34599.89655170513,1.0,37.56323,126.9757
A-16,34708.66666665786,2.0,37.56323,126.9757
A-16,35994.72807017769,3.0,37.56323,126.9757
A-16,34598.146551736914,4.0,37.56323,126.9757
A-16,27824.440366991672,5.0,37.56323,126.9757
A-16,26904.28813561226,6.0,37.56323,126.9757
A-17,48171.43137254547,0.0,37.56813,126.9801
A-17,50770.88349514278,1.0,37.56813,126.9801
A-17,50223.23584905457,2.0,37.56813,126.9801
A-17,51303.135922329835,3.0,37.56813,126.9801
A-17,51154.24528301849,4.0,37.56813,126.9801
A-17,36464.13402061911,5.0,37.56813,126.9801
A-17,31595.6326530699,6.0,37.56813,126.9801
A-18,22392.10714285206,0.0,37.56661,126.9919
A-18,22165.66666666367,1.0,37.56661,126.9919
A-18,22193.895652172807,2.0,37.56661,126.9919
A-18,22703.035398231023,3.0,37.56661,126.9919
A-18,22661.78761062143,4.0,37.56661,126.9919
A-18,18950.711711714386,5.0,37.56661,126.9919
A-18,17078.098214289195,6.0,37.56661,126.9919
A-19,13450.765217389982,0.0,37.56033,126.9755
A-19,13612.254237287987,1.0,37.56033,126.9755
A-19,13559.435897436542,2.0,37.56033,126.9755
A-19,13873.189655173319,3.0,37.56033,126.9755
A-19,13935.422413793944,4.0,37.56033,126.9755
A-19,10582.92920353991,5.0,37.56033,126.9755
A-19,8665.017391302927,6.0,37.56033,126.9755
A-20,44295.72222220619,0.0,37.53861,127.0071
A-20,44718.39516128434,1.0,37.53861,127.0071
A-20,44799.52000000009,2.0,37.53861,127.0071
A-20,44885.911290327196,3.0,37.53861,127.0071
A-20,44208.54761905643,4.0,37.53861,127.0071
A-20,47099.680327877526,5.0,37.53861,127.0071
A-20,46627.67999999948,6.0,37.53861,127.0071
A-21,18897.47580645103,0.0,37.54495,126.9927
A-21,18840.11885245865,1.0,37.54495,126.9927
A-21,18967.40163934374,2.0,37.54495,126.9927
A-21,19177.846774193466,3.0,37.54495,126.9927
A-21,19074.185483870897,4.0,37.54495,126.9927
A-21,18762.391666667063,5.0,37.54495,126.9927
A-21,15407.598360656972,6.0,37.54495,126.9927
A-22,25642.831999954986,0.0,37.54506,126.9914
A-22,27109.58536582178,1.0,37.54506,126.9914
A-22,27106.33606555663,2.0,37.54506,126.9914
A-22,27677.252032517834,3.0,37.54506,126.9914
A-22,27753.89600001216,4.0,37.54506,126.9914
A-22,27341.762295111417,5.0,37.54506,126.9914
A-22,24838.098360712393,6.0,37.54506,126.9914
A-23,11653.222222217179,0.0,37.557629999999996,126.9793
A-23,12367.787037033619,1.0,37.557629999999996,126.9793
A-23,12322.630630628986,2.0,37.557629999999996,126.9793
A-23,12937.663636363599,3.0,37.557629999999996,126.9793
A-23,12984.78504673085,4.0,37.557629999999996,126.9793
A-23,8089.252336452091,5.0,37.557629999999996,126.9793
A-23,5467.323809528907,6.0,37.557629999999996,126.9793
A-24,11911.664000001121,0.0,37.55562000000001,126.9866
A-24,12340.089430894528,1.0,37.55562000000001,126.9866
A-24,12313.250000001186,2.0,37.55562000000001,126.9866
A-24,12509.256000002712,3.0,37.55562000000001,126.9866
A-24,12902.632000003763,4.0,37.55562000000001,126.9866
A-24,10129.089430895747,5.0,37.55562000000001,126.9866
A-24,8432.7723577127,6.0,37.55562000000001,126.9866
B-01,38862.98809521118,0.0,37.69265,127.0478
B-01,38851.63095236949,1.0,37.69265,127.0478
B-01,39005.51249999345,2.0,37.69265,127.0478
B-01,38434.0238095188,3.0,37.69265,127.0478
B-01,40209.96341463332,4.0,37.69265,127.0478
B-01,38199.537500011815,5.0,37.69265,127.0478
B-01,31985.530120522097,6.0,37.69265,127.0478
B-02,66661.66666658204,0.0,37.69278,127.0583
B-02,67939.224999948,1.0,37.69278,127.0583
B-02,67405.7469879303,2.0,37.69278,127.0583
B-02,68427.66250000756,3.0,37.69278,127.0583
B-02,69500.66666670078,4.0,37.69278,127.0583
B-02,72700.25609761551,5.0,37.69278,127.0583
B-02,64968.07407413125,6.0,37.69278,127.0583
B-03,18526.766355136217,0.0,37.55238,127.1126
B-03,19020.644859816963,1.0,37.55238,127.1126
B-03,19176.84403670278,2.0,37.55238,127.1126
B-03,18845.43809524491,3.0,37.55238,127.1126
B-03,20128.08490566698,4.0,37.55238,127.1126
B-03,19709.83809523987,5.0,37.55238,127.1126
B-03,16057.5046728759,6.0,37.55238,127.1126
B-04,24067.443478286004,0.0,37.60185,127.1189
B-04,23920.324786341993,1.0,37.60185,127.1189
B-04,24152.32478633264,2.0,37.60185,127.1189
B-04,24057.76785714151,3.0,37.60185,127.1189
B-04,24959.236842094193,4.0,37.60185,127.1189
B-04,25210.221238919272,5.0,37.60185,127.1189
B-04,20592.76521737149,6.0,37.60185,127.1189
B-05,36027.01754385587,0.0,37.62081,127.1086
B-05,36786.56140350844,1.0,37.62081,127.1086
B-05,36995.72807017487,2.0,37.62081,127.1086
B-05,36821.6666666642,3.0,37.62081,127.1086
B-05,37782.70175438269,4.0,37.62081,127.1086
B-05,36751.660714284975,5.0,37.62081,127.1086
B-05,31365.46902655955,6.0,37.62081,127.1086
B-06,35343.798387076524,0.0,37.63128,127.1022
B-06,35425.98387095424,1.0,37.63128,127.1022
B-06,35460.09756096983,2.0,37.63128,127.1022
B-06,35431.7822580646,3.0,37.63128,127.1022
B-06,36133.86666667305,4.0,37.63128,127.1022
B-06,36249.316666679304,5.0,37.63128,127.1022
B-06,33578.770491824886,6.0,37.63128,127.1022
B-07,70297.3243242754,0.0,37.61421,127.1118
B-07,69842.70909086605,1.0,37.61421,127.1118
B-07,70711.81415926566,2.0,37.61421,127.1118
B-07,70167.5862068987,3.0,37.61421,127.1118
B-07,72105.24545457217,4.0,37.61421,127.1118
B-07,70031.82142861703,5.0,37.61421,127.1118
B-07,66331.44144148243,6.0,37.61421,127.1118
B-08,62365.934426129395,0.0,37.517509999999994,127.15
B-08,63657.116666598704,1.0,37.517509999999994,127.15
B-08,65318.37704913312,2.0,37.517509999999994,127.15
B-08,64610.77499997873,3.0,37.517509999999994,127.15
B-08,66785.15000000718,4.0,37.517509999999994,127.15
B-08,63397.02500006237,5.0,37.517509999999994,127.15
B-08,53370.93277328235,6.0,37.517509999999994,127.15
B-09,44561.97391305677,0.0,37.54788,127.178
B-09,45149.98198199223,1.0,37.54788,127.178
B-09,44962.904347829295,2.0,37.54788,127.178
B-09,44997.412280702716,3.0,37.54788,127.178
B-09,46048.937499994856,4.0,37.54788,127.178
