,grid,month,day,temp_avg,temp_max,temp_min,windspeed_avg,windspeed_max,windspeed_min,sen_temp_avg,sen_temp_max,sen_temp_min
0,57_125,6,1,19.5,26.1,16.1,0.33230769230769225,0.612,0.216,22.188974958854253,28.396969947855723,19.22407727548729
1,57_125,6,2,18.83076923076923,24.299999,16.200001,0.21600000000000005,0.648,0.0,21.768557349004293,26.60375784626585,23.188300621499998
2,57_125,6,3,20.838461076923082,28.0,17.799999,0.2658461538461538,0.432,0.072,23.55713980575889,30.287678470477466,21.352075240442673
3,57_125,6,4,20.18461561538461,23.5,17.700001,0.26861538461538464,0.54,0.036,22.93652576879456,25.86567685409605,21.56377711406914
4,57_125,6,5,20.54615361538462,25.299999,17.9,0.2658461538461539,0.684,0.072,23.28170934631887,27.584317325450606,21.440252659497766
5,57_125,6,6,19.20000030769231,24.200001,17.200001,0.3406153846153846,0.684,0.144,21.890328976822538,26.490233875453015,20.47270656873994
6,57_125,6,7,19.27692323076923,22.5,18.0,0.40707692307692306,0.576,0.288,21.8730601313964,24.861871632597186,20.838425184063727
7,57_125,6,8,18.930769230769233,22.5,17.5,0.24646153846153854,0.648,0.036,21.7972308088034,24.81922218596403,21.39288745285763
8,57_125,6,9,19.969230538461538,26.299999,17.6,0.44307692307692315,0.72,0.18,22.500248854016736,28.571635001254155,20.72055337208841
9,57_125,6,10,20.730769307692306,23.4,18.200001,0.6230769230769231,0.684,0.5039999999999999,23.083575802521498,25.694534379561645,20.708892638628022
10,57_125,6,11,17.915384615384617,19.1,17.0,0.38492307692307687,0.576,0.216,20.59225696399494,21.514559799173718,20.062680567322467
11,57_125,6,12,19.107692153846155,22.6,17.799999,0.2963076923076923,0.648,0.036,21.872564975578932,24.918363111059094,21.649219808564812
12,57_125,6,13,20.53076915384616,22.5,18.799999,0.2547692307692308,0.7920000000000001,0.036,23.284943710453028,24.74468189963094,22.503663842402204
13,57_125,6,14,20.78461546153846,24.4,17.1,0.6258461538461539,0.9,0.3960000000000001,23.13477582235624,26.617540962285858,19.790069819484092
14,57_125,6,15,20.015384307692308,25.0,16.6,0.6119999999999999,0.756,0.36,22.385115764180703,27.26379117276297,19.370860322910094
15,57_125,6,16,20.49230776923077,26.200001,17.6,0.2935384615384616,0.936,0.036,23.189022608028978,28.431934949688767,21.47833185624136
16,57_125,6,17,20.83846138461539,23.6,18.9,0.144,0.5039999999999999,0.0,23.79204179043444,25.983774552455493,24.866349999999997
17,57_125,6,18,20.700000000000003,27.4,17.799999,0.27138461538461545,0.612,0.072,23.418218834579864,29.681424190160286,21.352075240442673
18,57_125,6,19,19.669230846153848,22.5,18.6,0.32399999999999995,0.684,0.144,22.362511760531696,24.799373565634866,21.749913271521812
19,57_125,6,20,20.030769000000003,23.6,19.1,0.5344615384615385,0.72,0.324,22.468263216161038,25.877851612431353,21.82027494907105
20,57_125,6,21,20.238461384615384,26.0,17.299999,0.28800000000000003,0.648,0.108,22.95689880615928,28.28915456429111,20.71274778020944
21,57_125,6,22,22.33076923076923,27.1,20.200001,0.2243076923076923,0.612,0.036,25.01786801799595,29.385011672705396,23.699887198662623
22,57_125,6,23,20.85384623076923,24.299999,19.200001,0.4624615384615384,0.684,0.25199999999999995,23.33923721304959,26.589694198865296,22.039181558682387
23,57_125,6,24,22.292307692307695,26.6,21.1,0.3572307692307692,0.576,0.216,24.827920962536833,28.898335902313733,23.88298445234941
